uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"c9205f95-f54e-48f4-9f97-022b5e3ff3c8","LENO_041.mosquitoPoint.mos","D08","LENO","LENO_041","2017-09-26T21:42Z","2017-09-27T12:22Z","2017-11-13","LENO_041.20170927.0722.S.01",,"LENO.2017.39.CULERR.F.T",,,,"Y",51,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"7101d85d-e8b3-40cf-8e6b-bedd7cc93090","LENO_041.mosquitoPoint.mos","D08","LENO","LENO_041","2017-09-26T21:42Z","2017-09-27T12:22Z","2017-11-13","LENO_041.20170927.0722.S.01",,,,"LENO.2017.39.ANOQUA.F.A",,"Y",2,"ANOQUA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"quadrimaculatus",,"Anopheles quadrimaculatus","Say","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"dc65e6f3-e1e9-430e-9d6d-f43accab6b0d","LENO_041.mosquitoPoint.mos","D08","LENO","LENO_041","2017-09-26T21:42Z","2017-09-27T12:22Z","2017-11-13","LENO_041.20170927.0722.S.01",,"LENO.2017.39.CULNIG.F.T",,,,"Y",8,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"5b5a638c-9241-404f-8d81-5f5916ad8816","LENO_041.mosquitoPoint.mos","D08","LENO","LENO_041","2017-09-26T21:42Z","2017-09-27T12:22Z","2017-11-13","LENO_041.20170927.0722.S.01",,,,"LENO.2017.39.ANOCRU.F.A",,"Y",4,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"7fd3ba64-2ed6-48e2-a118-c7cf295f5e23","LENO_041.mosquitoPoint.mos","D08","LENO","LENO_041","2017-09-26T21:42Z","2017-09-27T12:22Z","2017-11-13","LENO_041.20170927.0722.S.01",,"LENO.2017.39.AEDATL.F.T",,,,"Y",1,"AEDATL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"atlanticus",,"Aedes atlanticus","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"c6a1caa1-9f32-46ca-9ef8-f68e9812a845","LENO_041.mosquitoPoint.mos","D08","LENO","LENO_041","2017-09-26T21:42Z","2017-09-27T12:22Z","2017-11-13","LENO_041.20170927.0722.S.01",,,,"LENO.2017.39.MANTIT.F.A",,"Y",115,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Mansonia",,"titillans",,"Mansonia titillans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"df3594cb-33c1-4d82-bc38-8856004693b8","LENO_041.mosquitoPoint.mos","D08","LENO","LENO_041","2017-09-26T21:42Z","2017-09-27T12:22Z","2017-11-13","LENO_041.20170927.0722.S.01",,,,"LENO.2017.39.COQPER.F.A",,"Y",19,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"5d4f8eac-70de-4b16-9ca5-9d4937f76d3a","LENO_039.mosquitoPoint.mos","D08","LENO","LENO_039","2017-09-26T21:46Z","2017-09-27T12:27Z","2017-11-10","LENO_039.20170927.0727.S.01",,"LENO.2017.39.CULERR.F.T",,,,"Y",36,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"5eba38f4-c5d2-4e53-b336-ea8aba12bf15","LENO_039.mosquitoPoint.mos","D08","LENO","LENO_039","2017-09-26T21:46Z","2017-09-27T12:27Z","2017-11-10","LENO_039.20170927.0727.S.01",,,,"LENO.2017.39.AEDVEX.F.A",,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"937390aa-d6aa-4211-8e5e-c217aa0bc568","LENO_039.mosquitoPoint.mos","D08","LENO","LENO_039","2017-09-26T21:46Z","2017-09-27T12:27Z","2017-11-10","LENO_039.20170927.0727.S.01",,,,"LENO.2017.39.ANOCRU.F.A",,"Y",7,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
